NUM_PLAYERS,ROUND_NUM,CLASS,,NP / RN,NP / MAX_S,E > F,TEST,PROB,NUM_TABLES,NUM_MAX_TABLES,NUM_MIN_TABLES,MAX_SEATS_PER_TABLE,MIN_SEATS_PER_TABLE
13,6,NONE_CONVERGED,FALSE,2.16666666666667,3.25,FALSE,TRUE,0,4,1,3,4,3
14,2,ALL_CONVERGED,TRUE,7,3.5,TRUE,TRUE,1,4,2,2,4,3
14,4,NONE_CONVERGED,FALSE,3.5,3.5,FALSE,TRUE,0,4,2,2,4,3
14,5,NONE_CONVERGED,FALSE,2.8,3.5,FALSE,TRUE,0,4,2,2,4,3
14,6,NONE_CONVERGED,FALSE,2.33333333333333,3.5,FALSE,TRUE,0,4,2,2,4,3
15,2,ALL_CONVERGED,TRUE,7.5,3.75,TRUE,TRUE,1,4,3,1,4,3
15,4,NONE_CONVERGED,FALSE,3.75,3.75,FALSE,TRUE,0,4,3,1,4,3
15,5,NONE_CONVERGED,FALSE,3,3.75,FALSE,TRUE,0,4,3,1,4,3
15,6,NONE_CONVERGED,FALSE,2.5,3.75,FALSE,TRUE,0,4,3,1,4,3
16,2,ALL_CONVERGED,TRUE,8,4,TRUE,TRUE,1,4,4,0,4,3
16,4,NONE_CONVERGED,FALSE,4,4,FALSE,TRUE,0,4,4,0,4,3
